?,Instruction,OPCODE,OPCODE [bin],FUNC,FUNC [bin],Description
x,add,0x00,0,0x20,100000,
x,and,0x00,0,0x24,100100,
x,or,0x00,0,0x25,100101,
x,sge,0x00,0,0x2d,101101,Set greater equal
x,sle,0x00,0,0x2c,101100,Set less equal
x,sll,0x00,0,0x04,100,Shift logic left
x,sne,0x00,0,0x29,101001,Set not equal
x,srl,0x00,0,0x06,110,
x,sub,0x00,0,0x22,100010,
x,xor,0x00,0,0x26,100110,
x,j,0x02,10,, ,
x,jal,0x03,11,, ,
x,beqz,0x04,100,, ,
x,bnez,0x05,101,, ,
x,addi,0x08,1000,, ,
x,subi,0x0a,1010,, ,
x,andi,0x0c,1100,, ,
x,ori,0x0d,1101,, ,
x,xori,0x0e,1110,, ,
x,slli,0x14,10100,, ,
,movd,0x00,,0x33,110011,
,movf,0x00,,0x32,110010,
,movi2s,0x00,,0x30,110000,
,movi2t,0x00,,0x36,110110,
,movs2i,0x00,,0x31,110001,
,movt2i,0x00,,0x37,110111,
,sleu,0x00,,0x3c,111100,
x,nop,0x15,10101,, ,
x,srli,0x16,10110,, ,
x,snei,0x19,11001,, ,
x,slei,0x1c,11100,, ,
,bfpt,0x06,,, ,
,bfpf,0x07,,, ,
x,sgei,0x1d,11101,, ,
x,lw,0x23,100011,, ,
x,sw,0x2b,101011,, ,
y,addu,0x00,0,0x21,100001,
y,addui,0x09,1001,, ,
y,jalr,0x13,10011,, ,
y,jr,0x12,10010,, ,
y,lb,0x20,100000,, ,
,rfe,0x10,,, ,
,trap,0x11,,, ,
y,lbu,0x24,100100,, ,
y,lhi,0x0f,1111,, ,
y,lhu,0x25,100101,, ,
y,mult,0x00,0,0x0e,1110,
y,sb,0x28,101000,, ,
y,seq,0x00,0,0x28,101000,
y,seqi,0x18,11000,, ,
y,sgeu,0x00,0,0x3d,111101,
y,sgeui,0x3d,111101,, ,
y,sgt,0x00,0,0x2b,101011,
y,sgti,0x1b,11011,, ,
y,sgtu,0x00,0,0x3b,111011,
y,sgtui,0x3b,111011,, ,
,lh,0x21,,, ,
y,slt,0x00,0,0x2a,101010,
y,slti,0x1a,11010,, ,
y,sltu,0x00,0,0x3a,111010,
,lf,0x26,,, ,
,ld,0x27,,, ,
y,sltui,0x3a,111010,, ,
,sh,0x29,,, ,
y,sra,0x00,0,0x07,111,
,sf,0x2e,,, ,
,sd,0x2f,,, ,
,itlb,0x38,,, ,
y,srai,0x17,10111,, ,
y,subu,0x00,0,0x23,100011,
,sleui,0x3c,,, ,
y,subui,0x0b,1011,, ,
